City,State,Year,Population
Newark,New Jersey,2012,277590
Toledo,Ohio,2012,283129
Durham,North Carolina,2012,241107
Chula Vista,California,2012,252457
Fort Wayne,Indiana,2012,257615
Jersey City,New Jersey,2012,256148
St. Petersburg,Florida,2012,246671
Laredo,Texas,2012,245877
Madison,Wisconsin,2012,239872
Chandler,Arizona,2012,237677
Buffalo,New York,2012,260176
Lubbock,Texas,2012,236055
Scottsdale,Arizona,2012,225213
Reno,Nevada,2012,229069
Glendale,Arizona,2012,233564
Gilbert,Arizona,2012,215880
Winston-Salem,North Carolina,2012,233867
North Las Vegas,Nevada,2012,221910
Norfolk,Virginia,2012,246141
Chesapeake,Virginia,2012,228075
Garland,Texas,2012,233775
Irving,Texas,2012,225812
Hialeah,Florida,2012,232730
Fremont,California,2012,221479
Boise City,Idaho,2012,215681
Richmond,Virginia,2012,210741
Baton Rouge,Louisiana,2012,228834
Spokane,Washington,2012,209294
Des Moines,Iowa,2012,210230
Tacoma,Washington,2012,201531
San Bernardino,California,2012,212444
Modesto,California,2012,205108
Fontana,California,2012,201295
Santa Clarita,California,2012,206285
Birmingham,Alabama,2012,210749
Oxnard,California,2012,201084
Fayetteville,North Carolina,2012,208873
Moreno Valley,California,2012,198218
Rochester,New York,2012,210600
Glendale,California,2012,193941
Huntington Beach,California,2012,194237
Salt Lake City,Utah,2012,189715
Grand Rapids,Michigan,2012,190817
Amarillo,Texas,2012,195389
Yonkers,New York,2012,198075
Aurora,Illinois,2012,199641
Montgomery,Alabama,2012,203937
Akron,Ohio,2012,198884
Little Rock,Arkansas,2012,196504
Huntsville,Alabama,2012,183588
Augusta-Richmond County consolidated government (bal,Georgia,2012,196834
Port St. Lucie,Florida,2012,167904
Grand Prairie,Texas,2012,182089
Columbus,Georgia,2012,198944
Tallahassee,Florida,2012,186464
Overland Park,Kansas,2012,178687
Tempe,Arizona,2012,168585
McKinney,Texas,2012,143506
Mobile,Alabama,2012,193858
Cape Coral,Florida,2012,160548
Shreveport,Louisiana,2012,201790
Frisco,Texas,2012,128403
Knoxville,Tennessee,2012,181270
Worcester,Massachusetts,2012,182694
Brownsville,Texas,2012,179828
Vancouver,Washington,2012,170056
Fort Lauderdale,Florida,2012,170941
Sioux Falls,South Dakota,2012,159833
Ontario,California,2012,166665
Chattanooga,Tennessee,2012,173652
Providence,Rhode Island,2012,178890
Newport News,Virginia,2012,180094
Rancho Cucamonga,California,2012,170015
Santa Rosa,California,2012,177263
Oceanside,California,2012,171467
Salem,Oregon,2012,157369
Elk Grove,California,2012,158123
Garden Grove,California,2012,173866
Pembroke Pines,Florida,2012,160258
Peoria,Arizona,2012,155352
Eugene,Oregon,2012,158241
Corona,California,2012,157608
Cary,North Carolina,2012,146073
Springfield,Missouri,2012,162015
Fort Collins,Colorado,2012,149390
Jackson,Mississippi,2012,174845
Alexandria,Virginia,2012,147314
Hayward,California,2012,149338
Lancaster,California,2012,158302
Lakewood,Colorado,2012,145418
Clarksville,Tennessee,2012,142553
Palmdale,California,2012,154942
Salinas,California,2012,153901
Springfield,Massachusetts,2012,154056
Hollywood,Florida,2012,145022
Pasadena,Texas,2012,152690
Sunnyvale,California,2012,146474
Macon-Bibb C,Georgia,2012,156610
Kansas City,Kansas,2012,147482
Pomona,California,2012,150484
Escondido,California,2012,147604
Killeen,Texas,2012,134234
Naperville,Illinois,2012,144015
Joliet,Illinois,2012,148227
Bellevue,Washington,2012,132194
Rockford,Illinois,2012,151267
Savannah,Georgia,2012,142388
Paterson,New Jersey,2012,146136
Torrance,California,2012,146340
Bridgeport,Connecticut,2012,147097
McAllen,Texas,2012,136434
Mesquite,Texas,2012,143297
Syracuse,New York,2012,144462
Midland,Texas,2012,119830
Pasadena,California,2012,138163
Murfreesboro,Tennessee,2012,113824
Miramar,Florida,2012,128695
Dayton,Ohio,2012,141909
Fullerton,California,2012,138153
Olathe,Kansas,2012,129945
Orange,California,2012,139070
Thornton,Colorado,2012,124400
Roseville,California,2012,124311
Denton,Texas,2012,123631
Waco,Texas,2012,127543
Surprise,Arizona,2012,122322
Carrollton,Texas,2012,125410
West Valley City,Utah,2012,132527
Charleston,South Carolina,2012,125428
Warren,Michigan,2012,134574
Hampton,Virginia,2012,137083
Gainesville,Florida,2012,125743
Visalia,California,2012,126459
Coral Springs,Florida,2012,126182
Columbia,South Carolina,2012,131744
Cedar Rapids,Iowa,2012,128306
Sterling Heights,Michigan,2012,130671
New Haven,Connecticut,2012,131117
Stamford,Connecticut,2012,125054
Concord,California,2012,124697
Kent,Washington,2012,123155
Santa Clara,California,2012,119420
Elizabeth,New Jersey,2012,126605
Round Rock,Texas,2012,106470
Thousand Oaks,California,2012,127693
Lafayette,Louisiana,2012,123559
Athens-Clarke County unified government (bal,Georgia,2012,118643
Topeka,Kansas,2012,128087
Abilene,Texas,2012,119852
Alameda,California,2012,75655
Albany,Georgia,2012,77516
Albany,New York,2012,98399
Albany,Oregon,2012,51017
Alhambra,California,2012,84157
Aliso Viejo,California,2012,49487
Allen,Texas,2012,89786
Allentown,Pennsylvania,2012,118880
Alpharetta,Georgia,2012,61580
Ames,Iowa,2012,61426
Anderson,Indiana,2012,55532
Ankeny,Iowa,2012,48365
Ann Arbor,Michigan,2012,116074
Antioch,California,2012,105580
Apex,North Carolina,2012,40546
Apopka,Florida,2012,45056
Apple Valley,Minnesota,2012,49723
Apple Valley,California,2012,70405
Appleton,Wisconsin,2012,73121
Arcadia,California,2012,56850
Arlington Heights vi,Illinois,2012,75938
Arvada,Colorado,2012,110192
Asheville,North Carolina,2012,85329
Auburn,Alabama,2012,57183
Auburn,Washington,2012,73390
Avondale,Arizona,2012,78736
Baldwin Park,California,2012,76213
Bartlett,Tennessee,2012,58201
Battle Creek,Michigan,2012,51868
Bayonne,New Jersey,2012,64263
Baytown,Texas,2012,73377
Beaumont,Texas,2012,117001
Beaverton,Oregon,2012,92574
Bellevue,Nebraska,2012,52411
Bellflower,California,2012,77219
Bellingham,Washington,2012,82347
Bend,Oregon,2012,78592
Bentonville,Arkansas,2012,38712
Berkeley,California,2012,115311
Berwyn,Illinois,2012,56900
Bethlehem,Pennsylvania,2012,75015
Billings,Montana,2012,106772
Bismarck,North Dakota,2012,64697
Blaine,Minnesota,2012,59441
Bloomington,Illinois,2012,77991
Bloomington,Indiana,2012,82169
Bloomington,Minnesota,2012,84868
Blue Springs,Missouri,2012,53003
Boca Raton,Florida,2012,87649
Bolingbrook vi,Illinois,2012,73962
Bonita Springs,Florida,2012,46337
Bossier City,Louisiana,2012,65373
Boulder,Colorado,2012,102169
Bowie,Maryland,2012,56621
Bowling Green,Kentucky,2012,60904
Boynton Beach,Florida,2012,69974
Bradenton,Florida,2012,50207
Brentwood,California,2012,53523
Bristol,Connecticut,2012,60635
Brockton,Massachusetts,2012,94047
Broken Arrow,Oklahoma,2012,102241
Brookhaven,Georgia,2012,50908
Brooklyn Park,Minnesota,2012,77907
Broomfield,Colorado,2012,58963
Bryan,Texas,2012,77820
Buckeye,Arizona,2012,54391
Buena Park,California,2012,82077
Burbank,California,2012,104125
Burien,Washington,2012,49553
Burlington,North Carolina,2012,50985
Burnsville,Minnesota,2012,60866
Caldwell,Idaho,2012,47689
Camarillo,California,2012,65678
Cambridge,Massachusetts,2012,107911
Camden,New Jersey,2012,76883
Canton,Ohio,2012,72786
Carlsbad,California,2012,108982
Carmel,Indiana,2012,83615
Carson,Nevada,2012,54319
Carson,California,2012,92199
Casa Grande,Arizona,2012,49468
Casper,Wyoming,2012,57674
Castle Rock,Colorado,2012,51017
Cathedral City,California,2012,52509
Cedar Park,Texas,2012,61521
Centennial,Colorado,2012,104266
Cerritos,California,2012,49414
Champaign,Illinois,2012,83223
Chapel Hill,North Carolina,2012,58649
Charleston,West Virginia,2012,50861
Cheyenne,Wyoming,2012,61420
Chico,California,2012,87934
Chicopee,Massachusetts,2012,55795
Chino Hills,California,2012,76073
Chino,California,2012,79982
Cicero,Illinois,2012,84586
Citrus Heights,California,2012,84413
Clearwater,Florida,2012,109420
Clifton,New Jersey,2012,84709
Clovis,California,2012,98482
Coconut Creek,Florida,2012,55132
Coeur d'Alene,Idaho,2012,45510
College Station,Texas,2012,97763
Collierville,Tennessee,2012,46433
Colton,California,2012,52962
Columbia,Missouri,2012,113549
Commerce City,Colorado,2012,48582
Compton,California,2012,97393
Concord,North Carolina,2012,82073
Conroe,Texas,2012,69543
Conway,Arkansas,2012,62733
Coon Rapids,Minnesota,2012,61957
Coral Gables,Florida,2012,49499
Corvallis,Oregon,2012,55138
Costa Mesa,California,2012,111830
Council Bluffs,Iowa,2012,62143
Cranston,Rhode Island,2012,80996
Cupertino,California,2012,59800
Daly City,California,2012,103961
Danbury,Connecticut,2012,82793
Davenport,Iowa,2012,101151
Davie,Florida,2012,95806
Davis,California,2012,65794
Daytona Beach,Florida,2012,62178
DeSoto,Texas,2012,51250
Dearborn Heights,Michigan,2012,57115
Dearborn,Michigan,2012,96879
Decatur,Alabama,2012,55804
Decatur,Illinois,2012,75451
Deerfield Beach,Florida,2012,77414
Delano,California,2012,52405
Delray Beach,Florida,2012,62285
Deltona,Florida,2012,85125
Des Plaines,Illinois,2012,58994
Diamond Bar,California,2012,56096
Doral,Florida,2012,48355
Dothan,Alabama,2012,67081
Downey,California,2012,112629
Dublin,California,2012,48708
Dubuque,Iowa,2012,58163
Duluth,Minnesota,2012,86157
Eagan,Minnesota,2012,64881
East Orange,New Jersey,2012,64179
Eastvale,California,2012,55773
Eau Claire,Wisconsin,2012,67338
Eden Prairie,Minnesota,2012,62393
Edina,Minnesota,2012,49201
Edinburg,Texas,2012,86342
Edmond,Oklahoma,2012,84936
El Cajon,California,2012,101491
El Monte,California,2012,114859
Elgin,Illinois,2012,109665
Elkhart,Indiana,2012,52004
Elyria,Ohio,2012,54163
Encinitas,California,2012,60894
Enid,Oklahoma,2012,50025
Erie,Pennsylvania,2012,101287
Euless,Texas,2012,52767
Evanston,Illinois,2012,75741
Evansville,Indiana,2012,120263
Everett,Washington,2012,104555
Fairfield,California,2012,107471
Fall River,Massachusetts,2012,88842
Fargo,North Dakota,2012,110821
Farmington Hills,Michigan,2012,80920
Fayetteville,Arkansas,2012,76961
Federal Way,Washington,2012,91997
Fishers,Indiana,2012,82431
Flagstaff,Arizona,2012,67931
Flint,Michigan,2012,100185
Florissant,Missouri,2012,52417
Flower Mound,Texas,2012,67723
Folsom,California,2012,73107
Fort Myers,Florida,2012,65519
Fort Smith,Arkansas,2012,87630
Fountain Valley,California,2012,56338
Framingham,Massachusetts,2012,70064
Franklin,Tennessee,2012,66272
Frederick,Maryland,2012,66404
Gaithersburg,Maryland,2012,63044
Galveston,Texas,2012,48118
Gardena,California,2012,59392
Gary,Indiana,2012,79188
Gastonia,North Carolina,2012,72520
Georgetown,Texas,2012,52466
Gilroy,California,2012,50738
Glendora,California,2012,50803
Goodyear,Arizona,2012,67823
Grand Forks,North Dakota,2012,53561
Grand Island,Nebraska,2012,49903
Grand Junction,Colorado,2012,59803
Grapevine,Texas,2012,48441
Great Falls,Montana,2012,59257
Greeley,Colorado,2012,95339
Green Bay,Wisconsin,2012,104657
Greenville,North Carolina,2012,87642
Greenville,South Carolina,2012,60030
Greenwood,Indiana,2012,52863
Gresham,Oregon,2012,108785
Gulfport,Mississippi,2012,69765
Hamilton,Ohio,2012,62213
Hammond,Indiana,2012,79650
Hanford,California,2012,54473
Harlingen,Texas,2012,65818
Harrisonburg,Virginia,2012,51315
Hartford,Connecticut,2012,125277
Haverhill,Massachusetts,2012,61865
Hawthorne,California,2012,85400
Hemet,California,2012,81039
Hempstead vi,New York,2012,54987
Hendersonville,Tennessee,2012,52916
Hesperia,California,2012,91620
High Point,North Carolina,2012,106541
Highland,California,2012,53948
Hillsboro,Oregon,2012,96364
Hoboken,New Jersey,2012,51486
Hoffman Estates vi,Illinois,2012,52316
Homestead,Florida,2012,63787
Hoover,Alabama,2012,82617
Huntersville,North Carolina,2012,49280
Huntington Park,California,2012,58537
Idaho Falls,Idaho,2012,58155
Independence,Missouri,2012,117305
Indio,California,2012,82292
Inglewood,California,2012,110938
Iowa City,Iowa,2012,70169
Jackson,Tennessee,2012,67034
Jacksonville,North Carolina,2012,76188
Janesville,Wisconsin,2012,63483
Johns Creek,Georgia,2012,81856
Johnson City,Tennessee,2012,64346
Jonesboro,Arkansas,2012,70427
Joplin,Missouri,2012,48470
Jupiter,Florida,2012,57206
Jurupa Valley,California,2012,98353
Kalamazoo,Michigan,2012,75541
Kenner,Louisiana,2012,66837
Kennewick,Washington,2012,75941
Kenosha,Wisconsin,2012,99908
Kentwood,Michigan,2012,49755
Kettering,Ohio,2012,55935
Kingsport,Tennessee,2012,52751
Kirkland,Washington,2012,83432
Kissimmee,Florida,2012,63457
Kokomo,Indiana,2012,58078
La Crosse,Wisconsin,2012,51966
La Habra,California,2012,61256
La Mesa,California,2012,58112
Lacey,Washington,2012,43989
Lafayette,Indiana,2012,70161
Laguna Niguel,California,2012,64153
Lake Charles,Louisiana,2012,73496
Lake Elsinore,California,2012,56052
Lake Forest,California,2012,78756
Lake Havasu City,Arizona,2012,52797
Lakeland,Florida,2012,99035
Lakeville,Minnesota,2012,57471
Lakewood,California,2012,80682
Lakewood,Ohio,2012,51399
Lakewood,Washington,2012,58108
Lancaster,Pennsylvania,2012,59473
Lansing,Michigan,2012,114653
Largo,Florida,2012,79646
Las Cruces,New Mexico,2012,101092
Lauderhill,Florida,2012,69023
Lawrence,Kansas,2012,89950
Lawrence,Massachusetts,2012,77922
Lawton,Oklahoma,2012,98455
Layton,Utah,2012,68879
League City,Texas,2012,88262
Leander,Texas,2012,30645
Lee's Summit,Missouri,2012,92371
Leesburg,Virginia,2012,46056
Lehi,Utah,2012,51391
Lenexa,Kansas,2012,49349
Lewisville,Texas,2012,99643
Little Elm,Texas,2012,29171
Livermore,California,2012,83843
Livonia,Michigan,2012,95920
Lodi,California,2012,63073
Logan,Utah,2012,49115
Longmont,Colorado,2012,88891
Longview,Texas,2012,81233
Lorain,Ohio,2012,63746
Loveland,Colorado,2012,70226
Lowell,Massachusetts,2012,108805
Lynchburg,Virginia,2012,77276
Lynn,Massachusetts,2012,91452
Lynwood,California,2012,70603
Madera,California,2012,62311
Madison,Alabama,2012,45135
Malden,Massachusetts,2012,60468
Manchester,New Hampshire,2012,110635
Manhattan,Kansas,2012,56597
Mansfield,Texas,2012,59493
Manteca,California,2012,70846
Maple Grove,Minnesota,2012,64505
Margate,Florida,2012,54830
Maricopa,Arizona,2012,44032
Marietta,Georgia,2012,58281
Marysville,Washington,2012,62298
Medford,Massachusetts,2012,57276
Medford,Oregon,2012,76104
Melbourne,Florida,2012,76884
Menifee,California,2012,81165
Merced,California,2012,80265
Meriden,Connecticut,2012,60687
Meridian,Idaho,2012,82094
Methuen Town,Massachusetts,2012,48123
Miami Beach,Florida,2012,90830
Miami Gardens,Florida,2012,111149
Midwest City,Oklahoma,2012,56263
Milford city (bal,Connecticut,2012,51560
Millcreek,Utah,2012,59881
Milpitas,California,2012,68880
Minnetonka,Minnesota,2012,51235
Mission Viejo,California,2012,94671
Mission,Texas,2012,81064
Missoula,Montana,2012,68343
Missouri City,Texas,2012,68090
Montebello,California,2012,63150
Monterey Park,California,2012,60674
Moore,Oklahoma,2012,57840
Mount Pleasant,South Carolina,2012,71626
Mount Prospect vi,Illinois,2012,55429
Mount Vernon,New York,2012,67839
Mountain View,California,2012,76514
Muncie,Indiana,2012,69756
Murrieta,California,2012,106491
Nampa,Idaho,2012,83909
Napa,California,2012,78201
Nashua,New Hampshire,2012,86933
National City,California,2012,59384
New Bedford,Massachusetts,2012,94997
New Braunfels,Texas,2012,60875
New Britain,Connecticut,2012,73217
New Brunswick,New Jersey,2012,55412
New Rochelle,New York,2012,78324
Newark,Ohio,2012,47807
Newport Beach,California,2012,86565
Newton,Massachusetts,2012,87054
Niagara Falls,New York,2012,49659
Noblesville,Indiana,2012,55389
Normal,Illinois,2012,54016
Norman,Oklahoma,2012,115629
North Charleston,South Carolina,2012,102014
North Little Rock,Arkansas,2012,64656
North Miami,Florida,2012,60566
North Port,Florida,2012,58448
North Richland Hills,Texas,2012,65256
Norwalk,California,2012,106019
Norwalk,Connecticut,2012,87269
Novato,California,2012,53229
Novi,Michigan,2012,57043
O'Fallon,Missouri,2012,82056
Oak Lawn vi,Illinois,2012,57089
Oak Park vi,Illinois,2012,52110
Ocala,Florida,2012,56788
Odessa,Texas,2012,105985
Ogden,Utah,2012,83820
Olympia,Washington,2012,48082
Orem,Utah,2012,90579
Orland Park vi,Illinois,2012,57278
Oshkosh,Wisconsin,2012,66715
Owensboro,Kentucky,2012,58129
Palatine vi,Illinois,2012,69184
Palm Bay,Florida,2012,104824
Palm Beach Gardens,Florida,2012,50514
Palm Coast,Florida,2012,77365
Palm Desert,California,2012,49779
Palo Alto,California,2012,66116
Paramount,California,2012,54594
Parker,Colorado,2012,47035
Parma,Ohio,2012,80622
Pasco,Washington,2012,67699
Passaic,New Jersey,2012,69977
Pawtucket,Rhode Island,2012,71569
Peabody,Massachusetts,2012,51913
Pearland,Texas,2012,99361
Pensacola,Florida,2012,52145
Peoria,Illinois,2012,115746
Perris,California,2012,71256
Perth Amboy,New Jersey,2012,51563
Petaluma,California,2012,58692
Pflugerville,Texas,2012,52014
Pharr,Texas,2012,73469
Pico Rivera,California,2012,63452
Pinellas Park,Florida,2012,50002
Pittsburg,California,2012,65534
Placentia,California,2012,51859
Plainfield,New Jersey,2012,50077
Plantation,Florida,2012,87942
Pleasanton,California,2012,72119
Plymouth,Minnesota,2012,73103
Pocatello,Idaho,2012,54770
Pompano Beach,Florida,2012,102911
Pontiac,Michigan,2012,60235
Port Arthur,Texas,2012,54574
Port Orange,Florida,2012,56976
Porterville,California,2012,58826
Portland,Maine,2012,66215
Portsmouth,Virginia,2012,96467
Provo,Utah,2012,115560
Pueblo,Colorado,2012,107556
Quincy,Massachusetts,2012,92979
Racine,Wisconsin,2012,78191
Rancho Cordova,California,2012,66733
Rapid City,South Dakota,2012,70181
Reading,Pennsylvania,2012,88165
Redding,California,2012,90397
Redlands,California,2012,69658
Redmond,Washington,2012,56789
Redondo Beach,California,2012,67459
Redwood City,California,2012,79211
Renton,Washington,2012,96024
Revere,Massachusetts,2012,53270
Rialto,California,2012,101315
Richardson,Texas,2012,103705
Richland,Washington,2012,51381
Richmond,California,2012,106044
Rio Rancho,New Mexico,2012,90431
Roanoke,Virginia,2012,98092
Rochester Hills,Michigan,2012,72453
Rochester,Minnesota,2012,108893
Rock Hill,South Carolina,2012,67781
Rocklin,California,2012,58963
Rockville,Maryland,2012,63306
Rocky Mount,North Carolina,2012,56757
Rogers,Arkansas,2012,59575
Rosemead,California,2012,54239
Roswell,Georgia,2012,93214
Rowlett,Texas,2012,57786
Royal Oak,Michigan,2012,58138
Saginaw,Michigan,2012,50740
Sammamish,Washington,2012,60024
San Angelo,Texas,2012,95844
San Buenaventura (Ventura),California,2012,109064
San Clemente,California,2012,64613
San Leandro,California,2012,86989
San Marcos,California,2012,86863
San Marcos,Texas,2012,49972
San Mateo,California,2012,99859
San Rafael,California,2012,58452
San Ramon,California,2012,72874
Sandy Springs,Georgia,2012,98879
Sandy,Utah,2012,91782
Sanford,Florida,2012,54912
Santa Barbara,California,2012,89312
Santa Cruz,California,2012,61963
Santa Fe,New Mexico,2012,82325
Santa Maria,California,2012,101149
Santa Monica,California,2012,91369
Santee,California,2012,55395
Sarasota,Florida,2012,52953
Schaumburg vi,Illinois,2012,74789
Schenectady,New York,2012,66090
Scranton,Pennsylvania,2012,76027
Shawnee,Kansas,2012,63560
Shoreline,Washington,2012,54508
Simi Valley,California,2012,125319
Sioux City,Iowa,2012,82686
Skokie vi,Illinois,2012,65262
Smyrna,Georgia,2012,52480
Smyrna,Tennessee,2012,42106
Somerville,Massachusetts,2012,77569
South Bend,Indiana,2012,100990
South Fulton,Georgia,2012,91005
South Gate,California,2012,94616
South Jordan,Utah,2012,55878
South San Francisco,California,2012,65639
Southaven,Mississippi,2012,50393
Southfield,Michigan,2012,72713
Sparks,Nevada,2012,92372
Spokane Valley,Washington,2012,90658
Springdale,Arkansas,2012,73724
Springfield,Illinois,2012,117930
Springfield,Ohio,2012,60077
Springfield,Oregon,2012,59961
St. Charles,Missouri,2012,66899
St. Clair Shores,Michigan,2012,59986
St. Cloud,Florida,2012,41201
St. Cloud,Minnesota,2012,65945
St. George,Utah,2012,75012
St. Joseph,Missouri,2012,77327
St. Peters,Missouri,2012,54035
Stillwater,Oklahoma,2012,46695
Stonecrest,Georgia,2012,51521
Suffolk,Virginia,2012,85258
Sugar Land,Texas,2012,111283
Summerville,South Carolina,2012,44606
Sunrise,Florida,2012,88591
Tamarac,Florida,2012,62211
Taunton,Massachusetts,2012,56042
Taylor,Michigan,2012,62464
Taylorsville,Utah,2012,60240
Temecula,California,2012,104308
Temple,Texas,2012,68745
Terre Haute,Indiana,2012,61167
Tigard,Oregon,2012,49820
Tinley Park vi,Illinois,2012,57291
Tracy,California,2012,84733
Trenton,New Jersey,2012,84642
Troy,Michigan,2012,82271
Troy,New York,2012,49843
Tulare,California,2012,60651
Turlock,California,2012,69650
Tuscaloosa,Alabama,2012,92807
Tustin,California,2012,77600
Tyler,Texas,2012,98986
Union City,California,2012,71663
Union City,New Jersey,2012,67827
Upland,California,2012,74956
Utica,New York,2012,61883
Vacaville,California,2012,93673
Valdosta,Georgia,2012,57159
Vallejo,California,2012,117604
Victoria,Texas,2012,64256
Victorville,California,2012,119885
Vineland,New Jersey,2012,60926
Vista,California,2012,95495
Walnut Creek,California,2012,65548
Waltham,Massachusetts,2012,62029
Warner Robins,Georgia,2012,71990
Warwick,Rhode Island,2012,81683
Waterbury,Connecticut,2012,110035
Waterloo,Iowa,2012,68437
Watsonville,California,2012,51885
Waukegan,Illinois,2012,88778
Waukesha,Wisconsin,2012,71716
Wellington vi,Florida,2012,58597
West Allis,Wisconsin,2012,60705
West Covina,California,2012,107130
West Des Moines,Iowa,2012,58128
West Haven,Connecticut,2012,55283
West Jordan,Utah,2012,108155
West New York,New Jersey,2012,50852
West Palm Beach,Florida,2012,102540
West Sacramento,California,2012,49548
Westland,Michigan,2012,83336
Westminster,California,2012,91243
Westminster,Colorado,2012,109101
Weston,Florida,2012,67708
Weymouth Town,Massachusetts,2012,55062
Wheaton,Illinois,2012,53551
White Plains,New York,2012,57256
Whittier,California,2012,86004
Wichita Falls,Texas,2012,104622
Wilmington,Delaware,2012,71008
Wilmington,North Carolina,2012,109645
Woodbury,Minnesota,2012,64462
Woodland,California,2012,56284
Wylie,Texas,2012,44881
Wyoming,Michigan,2012,73506
Yakima,Washington,2012,92687
Yorba Linda,California,2012,66308
Youngstown,Ohio,2012,66053
Yuba City,California,2012,65283
Yucaipa,California,2012,52298
Yuma,Arizona,2012,93751
Abilene,Texas,2013,119792
Akron,Ohio,2013,198901
Alameda,California,2013,76511
Albany,Georgia,2013,76393
Albany,New York,2013,98487
Albany,Oregon,2013,50941
Albuquerque,New Mexico,2013,557619
Alexandria,Virginia,2013,149674
Alhambra,California,2013,84395
Aliso Viejo,California,2013,50001
Allen,Texas,2013,92138
Allentown,Pennsylvania,2013,118832
Alpharetta,Georgia,2013,61946
Amarillo,Texas,2013,196243
Ames,Iowa,2013,63046
Anaheim,California,2013,344369
Anchorage municip,Alaska,2013,301155
Anderson,Indiana,2013,55561
Ankeny,Iowa,2013,50783
Ann Arbor,Michigan,2013,116818
Antioch,California,2013,107384
Apex,North Carolina,2013,42280
Apopka,Florida,2013,46198
Apple Valley,Minnesota,2013,49928
Apple Valley,California,2013,70741
Appleton,Wisconsin,2013,73588
Arcadia,California,2013,57279
Arlington Heights vi,Illinois,2013,76151
Arlington,Texas,2013,379266
Arvada,Colorado,2013,111846
Asheville,North Carolina,2013,86367
Athens-Clarke County unified government (bal,Georgia,2013,119629
Atlanta,Georgia,2013,453791
Auburn,Alabama,2013,58863
Auburn,Washington,2013,74848
Augusta-Richmond County consolidated government (bal,Georgia,2013,196479
Aurora,Colorado,2013,345276
Aurora,Illinois,2013,199826
Austin,Texas,2013,875463
Avondale,Arizona,2013,79778
Bakersfield,California,2013,363449
Baldwin Park,California,2013,76413
Baltimore,Maryland,2013,622497
Bartlett,Tennessee,2013,58211
Baton Rouge,Louisiana,2013,228280
Battle Creek,Michigan,2013,51787
Bayonne,New Jersey,2013,64754
Baytown,Texas,2013,75424
Beaumont,Texas,2013,118052
Beaverton,Oregon,2013,93306
Bellevue,Nebraska,2013,52792
Bellevue,Washington,2013,133823
Bellflower,California,2013,77440
Bellingham,Washington,2013,82638
Bend,Oregon,2013,80879
Bentonville,Arkansas,2013,40436
Berkeley,California,2013,116968
Berwyn,Illinois,2013,56938
Bethlehem,Pennsylvania,2013,74836
Billings,Montana,2013,108581
Birmingham,Alabama,2013,211230
Bismarck,North Dakota,2013,67035
Blaine,Minnesota,2013,60513
Bloomington,Illinois,2013,79245
Bloomington,Indiana,2013,82476
Bloomington,Minnesota,2013,85089
Blue Springs,Missouri,2013,53174
Boca Raton,Florida,2013,89701
Boise City,Idaho,2013,217436
Bolingbrook vi,Illinois,2013,73927
Bonita Springs,Florida,2013,47659
Bossier City,Louisiana,2013,66135
Boston,Massachusetts,2013,653103
Boulder,Colorado,2013,103640
Bowie,Maryland,2013,57155
Bowling Green,Kentucky,2013,62298
Boynton Beach,Florida,2013,71237
Bradenton,Florida,2013,51180
Brentwood,California,2013,54943
Bridgeport,Connecticut,2013,147726
Bristol,Connecticut,2013,60542
Brockton,Massachusetts,2013,94365
Broken Arrow,Oklahoma,2013,103674
Brookhaven,Georgia,2013,51446
Brooklyn Park,Minnesota,2013,78476
Broomfield,Colorado,2013,60149
Brownsville,Texas,2013,180913
Bryan,Texas,2013,78931
Buckeye,Arizona,2013,56598
Buena Park,California,2013,82766
Buffalo,New York,2013,260041
Burbank,California,2013,104430
Burien,Washington,2013,49962
Burlington,North Carolina,2013,51107
Burnsville,Minnesota,2013,61148
Caldwell,Idaho,2013,48963
Camarillo,California,2013,65923
Cambridge,Massachusetts,2013,112069
Camden,New Jersey,2013,76462
Canton,Ohio,2013,72558
Cape Coral,Florida,2013,164323
Carlsbad,California,2013,110723
Carmel,Indiana,2013,85869
Carrollton,Texas,2013,126459
Carson,Nevada,2013,53736
Carson,California,2013,92596
Cary,North Carolina,2013,151257
Casa Grande,Arizona,2013,49798
Casper,Wyoming,2013,59475
Castle Rock,Colorado,2013,52658
Cathedral City,California,2013,52890
Cedar Park,Texas,2013,64843
Cedar Rapids,Iowa,2013,128663
Centennial,Colorado,2013,106667
Cerritos,California,2013,49547
Champaign,Illinois,2013,84136
Chandler,Arizona,2013,239900
Chapel Hill,North Carolina,2013,58839
Charleston,South Carolina,2013,127456
Charleston,West Virginia,2013,50662
Charlotte,North Carolina,2013,792183
Chattanooga,Tennessee,2013,174830
Chesapeake,Virginia,2013,230330
Cheyenne,Wyoming,2013,62104
Chicago,Illinois,2013,2726772
Chico,California,2013,88392
Chicopee,Massachusetts,2013,55882
Chino Hills,California,2013,76333
Chino,California,2013,80848
Chula Vista,California,2013,256819
Cicero,Illinois,2013,84633
Cincinnati,Ohio,2013,297775
Citrus Heights,California,2013,85037
Clarksville,Tennessee,2013,142194
Clearwater,Florida,2013,110170
Cleveland,Ohio,2013,391759
Clifton,New Jersey,2013,84923
Clovis,California,2013,99548
Coconut Creek,Florida,2013,56930
Coeur d'Alene,Idaho,2013,46242
College Station,Texas,2013,100620
Collierville,Tennessee,2013,47356
Colorado Springs,Colorado,2013,437981
Colton,California,2013,53131
Columbia,Missouri,2013,115441
Columbia,South Carolina,2013,131526
Columbus,Georgia,2013,203198
Columbus,Ohio,2013,827824
